fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,log_residual_sugar,log_chlorides,log_total_sulfur_dioxide,log_sulphates
7.2,0.5,0.18,2.1,0.071,31.0,0.99761,3.52,0.72,9.6,6,1.1314021114911006,0.06859279146561172,3.4657359027997265,0.5423242908253617
7.0,0.58,0.28,4.8,0.085,69.0,0.99633,3.32,0.7,11.0,6,1.7578579175523736,0.08157998699242287,4.248495242049359,0.5306282510621704
8.5,0.28,0.56,1.8,0.092,103.0,0.9969,3.3,0.75,10.5,7,1.0296194171811583,0.0880108773227133,4.6443908991413725,0.5596157879354227
7.1,0.52,0.03,2.6,0.076,92.0,0.99745,3.5,0.6,9.8,5,1.2809338454620642,0.07325046173959267,4.532599493153256,0.4700036292457355
7.1,0.61,0.02,2.5,0.081,87.0,0.99745,3.48,0.6,9.7,6,1.252762968495368,0.07788653865707122,4.477336814478207,0.4700036292457355
8.2,0.23,0.42,1.9,0.069,17.0,0.99376,3.21,0.54,12.3,6,1.0647107369924282,0.06672363204290818,2.8903717578961645,0.43178241642553783
8.0,0.58,0.28,3.2,0.066,114.0,0.9973,3.22,0.54,9.4,6,1.4350845252893227,0.0639133257436528,4.74493212836325,0.43178241642553783
7.7,0.58,0.1,1.8,0.102,109.0,0.99565,3.08,0.49,9.8,6,1.0296194171811583,0.09712671073072274,4.700480365792417,0.3987761199573678
7.0,0.57,0.02,2.0,0.072,26.0,0.99575,3.36,0.61,10.2,5,1.0986122886681098,0.06952606264861023,3.295836866004329,0.4762341789963716
7.4,0.55,0.22,2.2,0.106,72.0,0.9959,3.05,0.63,9.2,5,1.1631508098056809,0.10074990310014305,4.290459441148391,0.48858001481867097
10.1,0.45,0.23,1.9,0.0819999999999999,18.0,0.99774,3.22,0.65,9.3,6,1.0647107369924282,0.0788111804242897,2.9444389791664403,0.5007752879124893
6.2,0.43,0.22,1.8,0.078,56.0,0.99633,3.52,0.6,9.5,6,1.0296194171811583,0.07510747248680541,4.04305126783455,0.4700036292457355
6.0,0.5,0.04,2.2,0.092,26.0,0.99647,3.46,0.47,10.0,5,1.1631508098056809,0.0880108773227133,3.295836866004329,0.3852624007906449
11.3,0.34,0.45,2.0,0.0819999999999999,15.0,0.9988,2.94,0.66,9.2,6,1.0986122886681098,0.0788111804242897,2.772588722239781,0.5068176023684519
10.6,0.28,0.39,15.5,0.069,23.0,1.0026,3.12,0.66,9.2,5,2.803360380906535,0.06672363204290818,3.1780538303479458,0.5068176023684519
7.2,0.695,0.13,2.0,0.076,20.0,0.99546,3.29,0.54,10.1,5,1.0986122886681098,0.07325046173959267,3.044522437723423,0.43178241642553783
9.3,0.655,0.26,2.0,0.096,35.0,0.99738,3.25,0.42,9.6,5,1.0986122886681098,0.0916671885258238,3.58351893845611,0.35065687161316933
4.9,0.42,0.0,2.1,0.048,42.0,0.99154,3.71,0.74,14.0,7,1.1314021114911006,0.04688358589885042,3.7612001156935624,0.5538851132264376
8.1,0.53,0.22,2.2,0.078,89.0,0.99678,3.26,0.46,9.6,6,1.1631508098056809,0.07510747248680541,4.499809670330265,0.3784364357202451
8.0,0.38,0.06,1.8,0.078,49.0,0.99625,3.37,0.52,9.9,6,1.0296194171811583,0.07510747248680541,3.912023005428146,0.41871033485818504
10.9,0.39,0.47,1.8,0.118,14.0,0.9982,3.3,0.75,9.8,6,1.0296194171811583,0.11154137473290741,2.70805020110221,0.5596157879354227
8.6,0.53,0.22,2.0,0.1,27.0,0.9967,3.2,0.56,10.2,6,1.0986122886681098,0.09531017980432487,3.332204510175204,0.44468582126144574
9.4,0.33,0.59,2.8,0.079,30.0,0.9976,3.12,0.54,12.0,6,1.33500106673234,0.0760346862759976,3.4339872044851463,0.43178241642553783
6.9,0.74,0.03,2.3,0.054,16.0,0.99508,3.45,0.63,11.5,6,1.1939224684724346,0.05259245011917058,2.833213344056216,0.48858001481867097
8.3,0.6,0.13,2.6,0.085,24.0,0.9984,3.31,0.59,9.2,6,1.2809338454620642,0.08157998699242287,3.2188758248682006,0.4637340162321401
12.7,0.6,0.49,2.8,0.075,19.0,0.9994,3.14,0.57,11.4,5,1.33500106673234,0.07232066157962612,2.995732273553991,0.4510756193602167
8.1,0.73,0.0,2.5,0.081,24.0,0.99798,3.38,0.46,9.6,4,1.252762968495368,0.07788653865707122,3.2188758248682006,0.3784364357202451
7.6,0.685,0.23,2.3,0.111,84.0,0.9964,3.21,0.61,9.3,5,1.1939224684724346,0.10526051065749295,4.442651256490317,0.4762341789963716
8.2,0.78,0.0,2.2,0.089,26.0,0.9978,3.37,0.46,9.6,4,1.1631508098056809,0.08525984395082342,3.295836866004329,0.3784364357202451
11.9,0.58,0.58,1.9,0.071,18.0,0.998,3.09,0.63,10.0,6,1.0647107369924282,0.06859279146561172,2.9444389791664403,0.48858001481867097
7.4,0.64,0.07,1.8,0.1,23.0,0.9961,3.3,0.58,9.6,5,1.0296194171811583,0.09531017980432487,3.1780538303479458,0.4574248470388754
6.1,0.64,0.02,2.4,0.069,46.0,0.99358,3.47,0.45,11.0,5,1.2237754316221157,0.06672363204290818,3.8501476017100584,0.37156355643248307
7.0,0.57,0.0,2.0,0.19,45.0,0.99676,3.31,0.6,9.4,6,1.0986122886681098,0.173953307123438,3.828641396489095,0.4700036292457355
6.2,0.39,0.43,2.0,0.071,24.0,0.99428,3.45,0.87,11.2,7,1.0986122886681098,0.06859279146561172,3.2188758248682006,0.6259384308664953
12.0,0.28,0.49,1.9,0.074,21.0,0.9976,2.98,0.66,9.9,7,1.0647107369924282,0.07138999608667294,3.091042453358316,0.5068176023684519
10.0,0.26,0.54,1.9,0.083,74.0,0.99451,2.98,0.63,11.8,8,1.0647107369924282,0.07973496801885356,4.31748811353631,0.48858001481867097
8.8,0.61,0.19,4.0,0.094,69.0,0.99787,3.22,0.5,10.0,6,1.6094379124341003,0.08984070399978947,4.248495242049359,0.4054651081081644
7.4,0.53,0.12,1.9,0.165,12.0,0.99702,3.26,0.86,9.2,5,1.0647107369924282,0.1527210870176639,2.5649493574615367,0.6205764877251099
